extracted_percentages,created_at,in_progress_at,finalizing_at,completed_at,requests
1.0,,,,,
,2025-01-10 17:52:03,2025-01-10 17:52:06,2025-01-10 18:37:11,2025-01-10 19:11:57,9231.0
0.35,,,,,
0.63,,,,,
0.96,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-10 19:17:01,2025-01-10 19:17:08,2025-01-10 20:50:38,2025-01-10 21:49:17,20000.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.16,,,,,
0.57,,,,,
0.99,,,,,
1.0,,,,,
,2025-01-10 22:17:14,2025-01-10 22:17:22,2025-01-11 03:26:27,2025-01-11 04:02:57,20000.0
0.58,,,,,
0.99,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-11 04:17:28,2025-01-11 04:17:37,2025-01-11 05:31:20,2025-01-11 06:20:54,20000.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.35,,,,,
0.94,,,,,
0.98,,,,,
0.98,,,,,
0.98,,,,,
0.98,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-11 06:47:40,2025-01-11 06:47:47,2025-01-11 13:12:07,2025-01-11 13:51:51,20000.0
0.75,,,,,
1.0,,,,,
,2025-01-11 14:17:56,2025-01-11 14:18:03,2025-01-11 15:03:09,2025-01-11 15:24:28,20000.0
0.32,,,,,
0.77,,,,,
0.99,,,,,
0.99,,,,,
1.0,,,,,
,2025-01-11 15:48:07,2025-01-11 15:48:14,2025-01-11 17:57:38,2025-01-11 18:37:54,20000.0
0.51,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-11 18:48:21,2025-01-11 18:48:31,2025-01-11 19:53:47,2025-01-11 20:45:13,20000.0
0.92,,,,,
1.0,,,,,
,2025-01-11 20:48:37,2025-01-11 20:48:43,2025-01-11 21:29:40,2025-01-11 21:51:10,20000.0
0.42,,,,,
1.0,,,,,
,2025-01-11 22:18:48,2025-01-11 22:18:54,2025-01-11 23:06:50,2025-01-11 23:39:53,20000.0
0.76,,,,,
0.98,,,,,
0.98,,,,,
0.98,,,,,
1.0,,,,,
,2025-01-11 23:48:59,2025-01-11 23:49:06,2025-01-12 02:04:39,2025-01-12 02:40:05,20000.0
0.67,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-12 02:49:12,2025-01-12 02:49:19,2025-01-12 03:46:00,2025-01-12 04:20:08,20000.0
